Frame,Timestamp (ms),Active points,Bounding box centre X (px),Bounding box centre Y (px),Bounding box width (px),Bounding box height (px),Bounding box rotation (degrees),Bounding box vertex 1 X (px),Bounding box vertex 1 Y (px),Bounding box vertex 2 X (px),Bounding box vertex 2 Y (px),Bounding box vertex 3 X (px),Bounding box vertex 3 Y (px),Bounding box vertex 4 X (px),Bounding box vertex 4 Y (px)
51,2080,234,430.632,84.8431,186,66,0.509878,337.342,117.014,337.929,51.0168,523.922,52.672,523.335,118.669
52,2120,229,431.544,85.0272,186,66,0.602218,338.202,117.048,338.896,51.0516,524.886,53.0065,524.192,119.003
53,2160,230,433.937,85.1466,186,66,0.717785,340.531,116.979,341.358,50.9842,527.343,53.3143,526.516,119.309
54,2200,231,434.489,84.9792,186,66,0.866382,341.001,116.569,341.999,50.5767,527.977,53.3892,526.979,119.382
55,2240,230,437.122,84.5516,186,66,1.17368,343.466,115.64,344.818,49.6536,530.779,53.4635,529.427,119.45
56,2280,227,436.393,85.9825,186,66,1.1023,342.775,117.187,344.045,51.1995,530.01,54.7777,528.741,120.765
57,2320,229,436.43,87.035,186,66,0.955883,342.892,118.479,343.994,52.4881,529.968,55.591,528.867,121.582
58,2360,230,436.918,88.2546,186,66,0.861017,343.432,119.853,344.424,53.8608,530.403,56.6558,529.411,122.648
59,2400,229,436.857,88.3734,186,66,1.02416,343.282,119.706,344.462,53.7164,530.432,57.0409,529.252,123.03
60,2440,223,439.167,88.6946,186,66,1.22049,345.485,119.706,346.891,53.7212,532.849,57.683,531.443,123.668
61,2480,223,439.752,88.5606,186,66,1.78966,345.766,118.64,347.828,52.6723,533.737,58.4811,531.676,124.449
62,2520,225,439.851,89.3376,186,66,1.80459,345.858,119.393,347.936,53.4253,533.844,59.2826,531.766,125.25
63,2560,229,440.531,89.9063,186,66,1.86052,346.509,119.87,348.652,53.9044,534.554,59.9431,532.411,125.908
64,2600,229,440.848,89.8476,186,66,1.76878,346.874,119.961,348.911,53.9927,534.823,59.7338,532.785,125.702
65,2640,231,442.365,89.7363,186,66,1.97416,348.283,119.513,350.557,53.5521,536.447,59.9596,534.173,125.92
66,2680,225,442.091,90.4253,186,66,2.25015,347.867,119.748,350.459,53.7993,536.315,61.1021,533.724,127.051
67,2720,225,440.597,91.441,186,66,2.1543,346.423,120.922,348.903,54.9684,534.772,61.9602,532.291,127.914
68,2760,231,438.272,92.5399,186,66,2.03377,344.159,122.219,346.501,56.2603,532.384,62.8612,530.042,128.82
69,2800,231,438.705,92.4762,186,66,1.97545,344.622,122.251,346.898,56.29,532.787,62.7017,530.512,128.662
70,2840,229,437.813,92.8036,186,66,2.09891,343.667,122.375,346.084,56.4197,531.959,63.2319,529.542,129.188
71,2880,234,435.223,94.0873,186,66,2.42313,340.911,123.126,343.701,57.1849,529.535,65.0488,526.744,130.99
72,2920,231,435.386,94.1799,186,66,2.58501,340.992,122.952,343.969,57.019,529.78,65.4079,526.803,131.341
73,2960,227,434.41,95.0107,186,66,2.70616,339.956,123.583,343.072,57.6566,528.865,66.4384,525.748,132.365
74,3000,227,433.898,95.0035,186,66,2.57946,339.507,123.785,342.478,57.8515,528.289,66.2224,525.319,132.155
75,3040,227,431.847,95.9361,186,66,2.71157,337.39,124.5,340.513,58.5734,526.304,67.3727,523.182,133.299
76,3080,227,426.442,98.3037,186,66,2.53175,332.076,127.163,334.991,61.2278,520.809,69.444,517.894,135.38
77,3120,236,425.235,98.5493,186,66,2.69631,330.785,127.138,333.89,61.2109,519.684,69.9608,516.579,135.888
78,3160,237,423.49,99.0073,186,66,2.89066,328.944,127.275,332.272,61.3593,518.035,70.7393,514.707,136.655
79,3200,236,423.142,99.1165,186,66,2.90916,328.587,127.354,331.937,61.439,517.697,70.879,514.348,136.794
80,3240,230,421.526,99.8333,186,66,2.9131,326.969,128.064,330.323,62.1496,516.083,71.6023,512.729,137.517
81,3280,231,419.179,100.406,186,66,2.90233,324.628,128.654,327.969,62.7391,513.731,72.1569,510.389,138.072
82,3320,231,417.75,101.578,186,66,2.68658,323.305,130.182,326.399,64.2548,512.194,72.9731,509.101,138.901
83,3360,229,416.679,101.753,186,66,2.93526,322.112,129.947,325.491,64.0339,511.247,73.5585,507.868,139.472
84,3400,228,416.983,101.697,186,66,2.74921,322.507,130.199,325.673,64.2745,511.459,73.1959,508.293,139.12
85,3440,232,416.621,101.562,186,66,2.91586,322.063,129.789,325.421,63.8743,511.18,73.336,507.822,139.251
86,3480,235,412.443,102.883,186,66,2.87979,317.903,131.169,321.219,65.2525,506.984,74.5973,503.668,140.514
87,3520,236,408.895,103.976,186,66,2.644,314.471,132.651,317.516,66.7213,503.318,75.3015,500.273,141.231
88,3560,232,405.134,105.201,186,66,2.48345,310.792,134.14,313.651,68.2019,499.477,76.2614,496.617,142.199
89,3600,231,405.024,105.031,186,66,2.45946,310.694,134.01,313.526,68.0703,499.355,76.052,496.522,141.991
90,3640,230,404.032,104.064,186,66,2.58112,309.64,132.842,312.612,66.9094,498.424,75.2857,495.451,141.219
91,3680,230,412.123,101.046,186,66,2.81399,317.615,129.441,320.855,63.5205,506.631,72.652,503.39,138.572
92,3720,233,414.568,100.714,186,66,2.85404,320.04,129.042,323.326,63.1242,509.095,72.3855,505.809,138.304
93,3760,230,416.027,101.533,186,66,2.36308,321.746,130.671,324.467,64.727,510.309,72.3961,507.588,138.34
94,3800,230,415.865,101.493,186,66,2.39675,321.566,130.575,324.326,64.6323,510.164,72.4107,507.403,138.353
